שם יישוב,מחוז
שדרות,Southern
שואבה,Jerusalem
שובה,Southern
שובל,Southern
שוהם,Central
שומרה,Northen
שומרייה,Southern
שוקדה,Southern
שורש,Jerusalem
שורשים,Northen
שושנת העמקים,Central
שזור,Northen
שחר,Southern
שחרות,Southern
שיבולים,Southern
שיזף,Southern
שיטים,Southern
שייח' דנון,Northen
שילה,Judea and Samaria
שילת,Central
שכניה,Northen
שלווה,Southern
שלווה במדבר,Southern
שלוחות,Northen
שלומי,Northen
שלומית,Southern
שלומציון,Judea and Samaria
שמיר,Northen
שמעה,Judea and Samaria
שמרת,Northen
שמשית,Northen
שני,Southern
שניר,Northen
שעב,Northen
שעל,Northen
שעלבים,Central
שער אפרים,Central
שער הגולן,Northen
שער העמקים,Haifa
שער מנשה,Haifa
שערי תקווה,Judea and Samaria
שפיים,Central
שפיר,Southern
שפר,Northen
שפרעם,Northen
שקד,Judea and Samaria
שקף,Southern
שרונה,Northen
שריגים )לי-און(,Jerusalem
שריד,Northen
שרשרת,Southern
שתולה,Northen
שתולים,Southern
תאשור,Southern
תדהר,Southern
תובל,Northen
תומר,Judea and Samaria
תושייה,Southern
תימורים,Southern
תירוש,Jerusalem
תל אביב יפו,Tel Aviv
תל חי (מכללה),Northen
תל יוסף,Northen
תל יצחק,Central
תל מונד,Central
תל עדשים,Northen
תל קציר,Northen
תל שבע,Southern
תל תאומים,Northen
תלם,Judea and Samaria
תלמי אליהו,Southern
תלמי אלעזר,Haifa
"תלמי ביל""ו",Southern
תלמי יוסף,Southern
תלמי יחיאל,Southern
תלמי יפה,Southern
תלמים,Southern
תמרת,Northen
תנובות,Central
תעוז,Jerusalem
תעשיון בינימין*,Central
תעשיון דלתון,Northen
תעשיון השרון,Central
תעשיון חבל יבנה,Central
תעשיון חצב*,Central
תעשיון מבצע*,Southern
תעשיון מיתרים,Judea and Samaria
תעשיון צריפין,Central
תעשיון ראם*,Southern
"תעשיון שח""ק",Judea and Samaria
תעשיות גליל תחתון,Northen
תפרח,Southern
תקומה,Southern
תקוע,Judea and Samaria
תרבין א-צאנע (יישוב)*,Southern
תרום,Jerusalem
